iter	Passed	Remaining
0	4	951
1	6	673
2	10	685
3	13	650
4	16	662
5	21	687
6	25	698
7	28	676
8	32	682
9	35	682
10	40	695
11	45	706
12	49	706
13	53	704
14	56	702
15	60	700
16	64	698
17	68	696
18	72	694
19	76	692
20	81	690
21	84	686
22	88	684
23	92	680
24	96	677
25	101	677
26	105	676
27	109	675
28	114	672
29	118	671
30	122	666
31	126	664
32	130	660
33	135	660
34	139	655
35	143	652
36	147	649
37	151	647
38	155	643
39	160	643
40	164	638
41	168	634
42	172	630
43	176	627
44	181	623
45	185	620
46	189	616
47	193	611
48	197	607
49	200	602
50	204	597
51	208	592
52	212	588
53	215	583
54	219	578
55	224	576
56	228	572
57	231	566
58	235	562
59	239	558
60	242	553
61	246	549
62	250	545
63	254	541
64	259	538
65	262	533
66	266	528
67	267	519
68	272	516
69	275	511
70	279	507
71	283	503
72	287	499
73	290	494
74	294	490
75	298	487
76	302	483
77	303	475
78	307	471
79	311	467
80	315	463
81	319	459
82	323	455
83	327	451
84	330	447
85	334	443
86	338	439
87	341	434
88	345	430
89	349	426
90	353	423
91	357	419
92	361	415
93	365	412
94	369	408
95	373	404
96	376	400
97	380	396
98	384	392
99	388	388
100	392	384
101	395	380
102	399	376
103	403	372
104	407	368
105	410	364
106	414	360
107	418	356
108	421	352
109	425	348
110	429	344
111	433	340
112	436	336
113	440	332
114	444	328
115	448	324
116	452	320
117	456	317
118	460	313
119	464	309
120	467	305
121	471	301
122	475	297
123	480	294
124	483	290
125	487	286
126	491	282
127	495	278
128	499	274
129	503	271
130	507	267
131	510	263
132	514	259
133	518	255
134	522	251
135	526	247
136	530	243
137	534	240
138	538	236
139	542	232
140	547	229
141	551	225
142	556	221
143	560	217
144	564	214
145	568	210
146	572	206
147	576	202
148	580	198
149	584	194
150	587	190
151	591	186
152	595	182
153	599	179
154	603	175
155	607	171
156	610	167
157	614	163
158	618	159
159	623	155
160	628	152
161	632	148
162	637	144
163	641	140
164	645	136
165	649	133
166	654	129
167	658	125
168	663	121
169	667	117
170	672	114
171	676	110
172	681	106
173	686	102
174	690	98
175	695	94
176	699	90
177	703	86
178	708	83
179	712	79
180	716	75
181	720	71
182	725	67
183	729	63
184	734	59
185	738	55
186	744	51
187	748	47
188	752	43
189	756	39
190	760	35
191	764	31
192	768	27
193	771	23
194	775	19
195	779	15
196	783	11
197	787	7
198	791	3
199	795	0
